Instrument,Trade-Type,Entry-Date,Entry-Price,Quantity,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,Intra-Day-Exit-PorL,Intra-Day-Exit-Date,Exit-Date,Exit-Price,Portfolio-Value-Pre,Portfolio-Cash-Pre,Portfolio-Value-Post,Portfolio-Cash-Post,PorL,Current-Pos
NFLX,LONG,2009-03-18,40.99,2317,100000.00,100000.00,101459.71,5026.17,0.0,2009-03-18,2009-03-20,41.34,101204.84,5026.17,100799.37,100799.37,799.37,[]
NFLX,SHORT,2009-05-08,39.12,2447,100799.37,100799.37,98119.90,98119.90,0.0,2009-05-08,2009-05-12,39.77,99637.04,99637.04,99208.81,99208.81,-1590.55,[]
NFLX,LONG,2010-04-06,80.42,1021,99208.81,99208.81,102220.76,17099.99,0.0,2010-04-06,2010-04-07,82.08,102220.76,17099.99,100908.78,100908.78,1699.96,[]
NFLX,LONG,2010-10-27,179.76,465,100908.78,100908.78,100322.88,17320.38,0.0,2010-10-27,2010-10-28,178.00,100322.88,17320.38,100090.38,100090.38,-818.40,[]
NFLX,LONG,2011-03-24,231.98,359,100090.38,100090.38,99067.23,16809.56,0.0,2011-03-24,2011-03-25,226.96,99067.23,16809.56,98288.20,98288.20,-1802.18,[]
NFLX,LONG,2012-01-05,81.17,999,98288.20,98288.20,96420.07,17199.37,-3416.58,2012-01-05,2012-01-06,79.00,96420.07,17199.37,96120.37,96120.37,-2167.83,[]
NFLX,LONG,2012-03-22,121.09,653,96120.37,96120.37,94579.29,17048.60,0.0,2012-03-22,2012-03-23,118.23,94579.29,17048.60,94252.79,94252.79,-1867.58,[]
NFLX,SHORT,2012-04-11,101.60,760,94252.79,94252.79,95613.19,95613.19,0.0,2012-04-11,2012-04-12,103.54,95613.19,95613.19,92778.39,92778.39,-1474.40,[]
NFLX,LONG,2012-07-05,74.33,988,92778.39,92778.39,100079.71,19340.35,0.0,2012-07-05,2012-07-11,79.93,98607.59,19340.35,98311.19,98311.19,5532.80,[]
NFLX,LONG,2012-12-13,92.14,839,98311.19,98311.19,98663.78,21005.94,0.0,2012-12-13,2012-12-17,92.37,99284.64,21005.94,98504.37,98504.37,193.18,[]
NFLX,SHORT,2014-03-17,423.47,183,98504.37,98504.37,98641.76,98641.76,-581.794832437,2014-03-17,2014-03-19,421.47,99093.77,99093.77,98870.37,98870.37,366.00,[]
NFLX,LONG,2014-05-20,370.20,207,98870.37,98870.37,99175.61,22239.92,0.0,2014-05-20,2014-05-28,397.20,104793.59,22239.92,104460.32,104460.32,5589.95,[]
NFLX,SHORT,2014-11-20,362.46,227,104460.32,104460.32,103170.96,103170.96,-1666.93666667,2014-11-20,2014-11-21,372.48,103170.96,103170.96,102185.78,102185.78,-2274.54,[]
